,year,month,day,num1,num2,num3,num4,num5,num6,numzz
358,1962,08,26,6,18,26,32,35,48,
359,1962,09,02,7,8,12,23,39,44,
360,1962,09,09,8,9,14,28,37,47,
361,1962,09,16,5,15,21,22,36,39,
362,1962,09,23,14,22,34,38,40,48,
363,1962,09,30,6,7,13,16,36,48,
364,1962,10,07,2,25,30,32,38,49,
365,1962,10,14,6,7,9,15,20,25,
366,1962,10,21,1,2,11,27,41,46,
367,1962,10,28,10,16,24,25,47,49,
368,1962,11,04,14,18,19,26,31,41,
369,1962,11,11,6,9,10,22,41,46,
370,1962,11,18,1,4,11,19,35,43,
371,1962,11,25,18,22,28,44,48,49,
372,1962,12,02,15,16,17,29,32,42,
373,1962,12,09,3,21,37,42,46,47,
374,1962,12,16,6,7,15,33,42,47,
375,1962,12,23,20,27,32,37,43,48,
376,1962,12,30,1,15,21,23,24,37,
377,1963,01,06,4,6,16,20,23,30,
378,1963,01,13,1,14,25,26,38,41,
379,1963,01,20,4,13,19,33,43,46,
380,1963,01,27,11,14,30,37,46,48,
381,1963,02,03,15,16,18,27,31,36,
382,1963,02,10,10,11,13,25,26,30,
383,1963,02,17,9,35,42,43,44,46,
384,1963,02,24,11,13,15,17,41,45,
385,1963,03,03,9,11,22,26,35,39,
386,1963,03,10,8,19,26,27,41,47,
387,1963,03,17,11,12,21,39,41,44,
388,1963,03,24,10,18,25,45,48,49,
389,1963,03,31,1,10,18,25,27,29,
390,1963,04,07,1,2,6,23,38,44,
391,1963,04,15,5,18,25,32,40,45,
392,1963,04,21,2,20,27,31,37,49,
393,1963,04,28,28,34,36,43,46,48,
394,1963,05,05,7,11,17,19,26,36,
395,1963,05,12,3,6,20,27,30,35,
396,1963,05,19,4,5,10,11,21,34,
397,1963,05,26,28,31,34,37,42,46,
398,1963,06,03,6,12,20,38,44,49,
399,1963,06,09,11,15,27,30,31,39,
400,1963,06,16,5,19,22,23,35,38,
401,1963,06,23,7,24,35,36,43,47,
402,1963,06,30,3,17,19,29,40,46,
403,1963,07,07,6,12,22,31,48,49,
404,1963,07,14,1,23,24,30,37,38,
405,1963,07,21,7,12,19,24,31,32,
406,1963,07,28,4,8,28,30,40,44,
407,1963,08,04,17,23,30,31,38,48,
408,1963,08,11,2,8,19,20,23,37,
409,1963,08,18,6,9,11,36,37,45,
410,1963,08,25,4,8,22,24,26,38,
411,1963,09,01,7,26,30,34,38,40,
412,1963,09,08,23,26,30,34,44,48,
413,1963,09,15,14,19,21,28,44,46,
414,1963,09,22,11,14,17,23,29,45,
415,1963,09,29,2,3,11,29,37,46,
416,1963,10,06,1,7,11,28,39,40,
417,1963,10,13,18,19,32,34,35,43,
418,1963,10,20,3,4,12,26,30,32,
419,1963,10,27,3,10,11,21,26,43,
420,1963,11,03,5,17,23,33,34,38,
421,1963,11,10,4,14,18,25,31,38,
422,1963,11,17,13,24,28,31,32,40,
423,1963,11,24,7,10,17,30,36,40,
424,1963,12,01,14,15,27,32,37,45,
425,1963,12,08,7,20,22,24,33,37,
426,1963,12,15,1,7,9,19,31,36,
427,1963,12,22,2,12,16,21,29,37,
428,1963,12,29,5,6,9,16,29,36,
429,1964,01,05,16,34,38,40,42,43,
430,1964,01,12,1,8,21,28,38,42,
431,1964,01,19,6,28,32,34,47,48,
432,1964,01,26,7,14,17,30,36,43,
433,1964,02,02,2,3,11,21,26,46,
434,1964,02,09,7,10,18,25,29,32,
435,1964,02,16,7,21,22,28,39,47,
436,1964,02,23,2,16,21,26,32,47,
437,1964,03,01,3,15,23,35,37,44,
438,1964,03,08,1,16,26,32,35,41,
439,1964,03,15,10,16,17,25,31,43,
440,1964,03,22,2,9,10,13,24,39,
441,1964,03,30,18,22,25,36,41,47,
442,1964,04,05,1,23,24,28,30,42,
443,1964,04,12,13,15,25,32,42,48,
444,1964,04,19,10,21,23,37,39,41,
445,1964,04,26,19,28,38,39,40,46,
446,1964,05,03,4,5,9,43,47,49,
447,1964,05,10,11,12,19,32,34,48,
448,1964,05,18,5,9,33,35,42,48,
449,1964,05,24,6,11,13,31,34,43,
450,1964,05,31,1,21,22,38,45,49,
451,1964,06,07,4,5,9,32,37,45,
